timestamp,elapsed_sec,event_type,value
22:53:06.856,5.517,CALIBRATED,baseline=0.319 threshold=0.239
22:53:12.782,11.443,DROWSY,EAR=0.242 frames=121
22:53:40.018,38.679,DROWSY,EAR=0.247 frames=35
22:53:45.748,44.409,DROWSY,EAR=0.256 frames=97
22:53:47.186,45.847,DROWSY,EAR=0.317 frames=39
22:53:50.323,48.985,DROWSY,EAR=0.263 frames=85
22:53:52.504,51.166,DROWSY,EAR=0.241 frames=25
22:53:54.786,53.447,DROWSY,EAR=0.274 frames=60
22:53:57.589,56.25,DROWSY,EAR=0.279 frames=57
22:54:02.684,61.345,DROWSY,EAR=0.257 frames=62
22:54:04.801,63.462,DROWSY,EAR=0.273 frames=23
22:54:08.079,66.74,DROWSY,EAR=0.262 frames=20
22:54:10.251,68.912,DROWSY,EAR=0.264 frames=48
22:54:14.875,73.536,DROWSY,EAR=0.244 frames=64
22:54:16.130,74.791,DROWSY,EAR=0.274 frames=37
22:54:20.013,78.674,DROWSY,EAR=0.239 frames=111
22:54:20.995,79.656,DROWSY,EAR=0.256 frames=29
22:54:41.335,99.996,YAWN,MAR=0.648
22:54:45.165,103.826,DROWSY,EAR=0.239 frames=637
22:54:46.162,104.823,YAWN,MAR=0.640
22:54:46.535,105.196,DROWSY,EAR=0.253 frames=33
22:55:18.034,136.695,DROWSY,EAR=0.256 frames=21
22:55:23.537,142.198,YAWN,MAR=0.649
22:55:26.925,145.586,YAWN,MAR=0.584
22:55:28.395,147.056,DROWSY,EAR=0.266 frames=241
22:55:50.834,169.495,YAWN,MAR=0.634
22:55:51.974,170.635,YAWN,MAR=0.623
22:55:53.407,172.068,DROWSY,EAR=0.265 frames=44
22:55:54.268,172.929,YAWN,MAR=0.619
22:55:59.342,178.004,DROWSY,EAR=0.257 frames=121
22:56:08.272,186.933,DROWSY,EAR=0.239 frames=242
22:56:23.961,202.622,DROWSY,EAR=0.265 frames=33
22:56:27.313,205.974,DROWSY,EAR=0.252 frames=63
22:56:51.566,230.227,DROWSY,EAR=0.317 frames=54
22:57:01.583,240.244,DROWSY,EAR=0.246 frames=54
22:57:09.418,248.079,DROWSY,EAR=0.274 frames=204
22:57:10.800,249.461,DROWSY,EAR=0.256 frames=21
22:57:12.494,251.155,DROWSY,EAR=0.264 frames=24
22:57:14.475,253.136,DROWSY,EAR=0.251 frames=34
22:57:26.240,264.901,DROWSY,EAR=0.255 frames=57
22:57:31.837,270.498,DROWSY,EAR=0.277 frames=21
22:57:43.153,281.814,DROWSY,EAR=0.261 frames=33
22:57:48.460,287.121,YAWN,MAR=0.633
22:57:50.422,289.083,DROWSY,EAR=0.241 frames=47
22:57:52.478,291.139,DROWSY,EAR=0.254 frames=33
22:57:55.871,294.532,DROWSY,EAR=0.241 frames=86
22:57:56.573,295.234,YAWN,MAR=0.500
22:57:57.583,296.244,DROWSY,EAR=0.263 frames=36
22:58:08.033,306.694,DROWSY,EAR=0.306 frames=71
22:58:10.403,309.064,DROWSY,EAR=0.250 frames=37
22:58:13.632,312.293,YAWN,MAR=0.593
22:58:18.128,316.789,DROWSY,EAR=0.256 frames=179
22:58:29.173,327.834,YAWN,MAR=0.545
22:58:30.307,328.968,DROWSY,EAR=0.241 frames=73
22:58:31.170,329.831,DROWSY,EAR=0.315 frames=22
22:58:33.040,331.701,DROWSY,EAR=0.244 frames=20
22:58:42.830,341.491,DROWSY,EAR=0.266 frames=46
22:58:43.570,342.231,DROWSY,EAR=0.279 frames=20
22:58:50.272,348.934,DROWSY,EAR=0.248 frames=73
22:58:58.382,357.043,DROWSY,EAR=0.258 frames=20
22:59:02.386,361.047,DROWSY,EAR=0.251 frames=20
22:59:09.685,368.346,DROWSY,EAR=0.257 frames=51
22:59:14.704,373.365,DROWSY,EAR=0.259 frames=43
22:59:16.644,375.305,DROWSY,EAR=0.266 frames=35
